start-date,end-date,sport,event,venue,
2019-05-12,2019-05-12,MOTOR RACING,Spanish Grand Prix,Barcelona,
2019-05-13,2019-05-19,TENNIS,Internazionali BNL d’Italia,Rome,
2019-05-14,2019-05-14,CRICKET,Third one-day international: England v Pakistan,Bristol,
2019-05-16,2019-05-19,GOLF,US PGA Championship,New York,
2019-05-17,2019-05-17,CRICKET,Fourth one-day international: England v Pakistan,Trent Bridge,
2019-05-17,2019-05-18,RUGBY UNION,Pro14 semi-finals,,
2019-05-17,2019-05-19,DIVING,World Series,London,
2019-05-18,2019-05-18,FOOTBALL,FA Cup final,Wembley,
2019-05-18,2019-05-18,FOOTBALL,Women’s Champions League final,Budapest,
2019-05-18,2019-05-18,RUGBY UNION,Final round of Premiership matches,,
2019-05-18,2019-05-19,FOOTBALL,Final round of Scottish Premiership matches,,
2019-05-18,2019-05-19,TRIATHLON,World Series,Yokohama,
2019-05-19,2019-05-19,BASKETBALL,BBL play-off final,London,
2019-05-19,2019-05-19,CRICKET,Fifth one-day international: England v Pakistan,Headingley,
2019-05-19,2019-05-19,FOOTBALL,FA Trophy and FA Vase finals,Wembley,
2019-05-19,2019-05-19,MOTOR CYCLING,MotoGP,Le Mans,
2019-05-24,2019-05-24,RUGBY UNION,Premiership semi-finals,,
2019-05-25,2019-05-25,ATHLETICS,Diamond League,Shanghai,
2019-05-25,2019-05-25,CRICKET,Royal London One-Day Cup final,Lord’s,
2019-05-25,2019-05-25,FOOTBALL,League Two play-off final,Wembley,
2019-05-25,2019-05-25,FOOTBALL,Scottish Cup final,Hampden Park,
2019-05-25,2019-05-25,RUGBY UNION,Pro14 final,Parkhead,
2019-05-25,2019-05-26,RUGBY LEAGUE,Super League Magic Weekend,Liverpool,
2019-05-26,2019-05-26,FOOTBALL,League One play-off final,Wembley,
2019-05-26,2019-05-26,MOTOR RACING,Monaco Grand Prix,Monte Carlo,
2019-05-26,2019-06-09,TENNIS,French Open,Roland Garros,
2019-05-27,2019-05-27,FOOTBALL,Championship play-off final,Wembley,
2019-05-29,2019-05-29,FOOTBALL,Europa League final,Baku,
2019-05-30,2019-07-14,CRICKET,World Cup starting with England v South Africa,The Oval,
2019-05-30,2019-06-02,GOLF,US Women’s Open,South Carolina,
2019-05-30,2019-06-02,MOTOR RACING,Portuguese Rally,,
2019-06-01,2019-06-01,FOOTBALL,Champions League final,Madrid,
2019-06-01,2019-06-01,RACING,The Derby,Epsom,
2019-06-01,2019-06-01,BOXING,Heavyweight title fight: Anthony Joshua vs Andy Ruiz Jr,,
